"taskId","smiles","Property","Value","Tool"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","MW",521.15,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Vol",494.101959851763,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Dense",1.05474181919123,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","nHA",8,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","nHD",2,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","TPSA",85.96,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","nRot",5,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","nRing",6,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","MaxRing",9,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","nHet",10,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","fChar",0,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","nRig",32,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Flex",0.15625,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","nStereo",1,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","gasa",0,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","QED",0.308,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Synth",3,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Fsp3",0.269,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","MCE.18",103.758,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Natural.Product.likeness",-1.252,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Lipinski",0,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Pfizer",0,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","GSK",1,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","GoldenTriangle",1,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","logS",-5.92858180035422,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","logD",3.71145442120814,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","logP",4.6922277580008,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","mp",158.453433920905,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","bp",361.321585351117,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","pka_acidic",10.3980043255224,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","pka_basic",6.37248253652512,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","caco2",-5.28997956042825,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","MDCK",-5.08579344624853,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","logVDss",0.358291649273989,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Fu",1.92450127088475,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","PPB",97.4599705650784,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","t0.5",0.73662542380361,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","cl.plasma",6.12231438061969,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","BCF",1.94251584061681,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","IGC50",3.97274421990419,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","LC50FM",4.81893737458734,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","LC50DM",5.22200463841539,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","f20",0.00233685970306396,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","f30",0.086142361164093,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","f50",0.70440399646759,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","hia",1.19209289550781e-07,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","MRP1",0.998189389705658,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","OATP1B1",0.967423677444458,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","OATP1B3",0.00872411672025919,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","pgp_inh",0.00837928056716919,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","pgp_sub",0.988055288791656,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","BCRP",0.939891517162323,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","BSEP",0.99999988079071,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","BBB",9.5910245079267e-08,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","PAMPA",0.000490389938931912,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP1A2.inh",0.995742619037628,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP1A2.sub",0.978596210479736,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP2C19.inh",0.999769270420074,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP2C19.sub",0.22435462474823,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP2C9.inh",0.910113215446472,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP2C9.sub",0.794485509395599,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP2D6.inh",0.00244322884827852,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP2D6.sub",0.105634063482285,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP3A4.inh",0.937211990356445,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP3A4.sub",0.102705009281635,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP2B6.inh",0.999989748001099,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP2B6.sub",3.26365916407667e-05,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","CYP2C8.inh",0.998968124389648,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","LM.human",0.013664647936821,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","A549",0.718933939933777,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Ames",0.62690669298172,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Carcinogenicity",0.64575845003128,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","DILI",0.998513162136078,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","EC",3.89852843341032e-08,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","EI",0.0118334153667092,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","FDAMDD",0.983096480369568,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Genotoxicity",0.999884009361267,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","H.HT",0.976253569126129,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","HEK293",0.897317349910736,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Hematotoxicity",0.693722009658813,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","hERG.10um",0.831608533859253,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","hERG",0.945528507232666,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Nephrotoxicity.DI",0.998494982719421,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Neurotoxicity.DI",0.99746835231781,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Ototoxicity",0.964304029941559,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Respiratory",0.992701292037964,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","ROA",0.92992901802063,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","RPMI.8226",0.318191915750504,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SkinSen",0.0886514037847519,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.AR",0.0869865044951439,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.AR.LBD",0.000862881948705763,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.AhR",0.966454207897186,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.Aromatase",0.619327485561371,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.ER",0.161128714680672,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.ER.LBD",0.0202510561794043,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","NR.PPAR.gamma",0.000227146869292483,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.ARE",0.554382741451263,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.ATAD5",0.681376934051514,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.HSE",0.154092326760292,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.MMP",0.349588960409164,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","SR.p53",0.3852818608284,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Aggregators",0.759,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Fluc",0.778,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Blue_fluorescence",0.795,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Green_fluorescence",0.964,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Reactive",0.007,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Other_assay_interference",0.051,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Promiscuous",0.806,"ADMETlab"
